,CurrentClinicName1,CurrentClinicCity,CurrentClinicState,Year,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,Donor_TransLB2,Donor_TransLB3,ReasonTubal,ReasonOvul,ReasonDOR,ReasonEndo,ReasonUterine,ReasonMale,ReasonOtherInfert,TransPGT1,TransPGT2,TransPGT3,TransPGT4
559,PALM BEACH FERTILITY CENTER,BOCA RATON,FLORIDA,2018,31,18,23,12,48.4%,5 / 18,13.0%,* / 12,8.6%,8.5%,17.0%,8.3%,,48.1%,11%,16%,49%,8%,10%,42%,13%,18.6%,17.2%,38.7%,* / 11
560,POLCZ FERTILITY CENTER,BOYNTON BEACH,FLORIDA,2018,6,5,5,0,* / 6,* / 5,* / 5,,0 / 11,0 / *,0 / 7,,,,37%,11%,5%,16%,26%,42%,0%,0 / 11,0 / *,0 / 7,
561,FLORIDA FERTILITY INSTITUTE,CLEARWATER,FLORIDA,2018,66,36,28,6,30.3%,27.8%,10.7%,0 / 6,1.8%,4.3%,2.4%,0.0%,* / 7,28.0%,17%,15%,22%,8%,9%,52%,13%,41.7%,38.7%,59.1%,* / 12
562,CONCEPTIONS FLORIDA: CENTER FOR FERTILITY AND GENETICS,CORAL GABLES,FLORIDA,2018,76,61,41,18,40.8%,26.2%,26.8%,* / 18,7.2%,8.3%,9.9%,10.9%,5 / 13,66.7%,5%,9%,49%,5%,3%,20%,31%,26.8%,33.3%,30.8%,50.0%
563,"SOUTHWEST FLORIDA FERTILITY CENTER, PA",FORT MYERS,FLORIDA,2018,11,5,5,6,7 / 11,* / 5,* / 5,* / 6,0.0%,0.0%,* / 18,* / *,,* / *,31%,13%,28%,8%,3%,29%,0%,3.1%,0.0%,0 / 14,0 / *
564,"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, PA",FORT MYERS,FLORIDA,2018,31,13,13,*,29.0%,5 / 13,* / 13,0 / *,6.3%,8.7%,* / 18,* / 11,0 / *,* / 7,8%,12%,33%,8%,3%,8%,38%,2.9%,* / 17,* / 13,* / 9
565,UF HEALTH REPRODUCTIVE MEDICINE AT SPRINGHILL,GAINESVILLE,FLORIDA,2018,31,6,6,*,54.8%,* / 6,* / 6,0 / *,0.0%,8.0%,8.7%,* / 9,* / *,* / *,16%,25%,27%,11%,4%,37%,11%,6.3%,* / 16,* / 15,* / 6
566,ASSISTED FERTILITY PROGRAM,JACKSONVILLE,FLORIDA,2018,26,15,6,*,61.5%,* / 15,* / 6,0 / *,2.4%,3.6%,* / 15,0 / *,,* / 11,23%,17%,39%,1%,6%,28%,4%,6.5%,8.3%,0 / 14,0 / *
567,BROWN FERTILITY,JACKSONVILLE,FLORIDA,2018,179,72,48,19,58.1%,38.9%,41.7%,8 / 19,0.3%,0.7%,0.0%,0.0%,* / *,40.0%,13%,21%,32%,12%,1%,15%,24%,6.1%,7.3%,2.8%,2.2%
568,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,FLORIDA,2018,212,98,86,25,57.5%,37.8%,27.9%,16.0%,10.0%,10.9%,12.3%,22.1%,51.7%,32.3%,12%,13%,22%,7%,4%,36%,7%,40.6%,48.7%,52.8%,27.1%
569,JACKSONVILLE CENTER FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,FLORIDA,2018,108,58,37,19,31.5%,13.8%,18.9%,* / 19,3.2%,7.5%,9.8%,0.0%,* / *,27.3%,16%,22%,33%,39%,6%,12%,10%,14.3%,12.8%,16.7%,8.0%
570,"REPRODUCTIVE MEDICINE ASSOCIATES OF FLORIDA, LLC",LAKE MARY,FLORIDA,2018,0,0,0,0,,,,,0 / 17,* / 10,0 / 9,* / 5,,0 / *,23%,7%,18%,14%,2%,50%,5%,7 / 7,* / *,* / *,* / *
571,IVF FLORIDA REPRODUCTIVE ASSOCIATES,MARGATE,FLORIDA,2018,291,176,194,126,47.4%,35.2%,19.6%,14.3%,5.1%,7.2%,8.4%,15.0%,47.9%,38.4%,14%,15%,35%,8%,5%,25%,51%,27.8%,33.5%,46.8%,36.3%
572,VIERA FERTILITY CENTER,MELBOURNE,FLORIDA,2018,30,15,13,*,46.7%,5 / 15,* / 13,0 / *,1.3%,8.1%,4.3%,* / 13,* / 5,* / 7,28%,34%,32%,9%,14%,50%,49%,40.0%,* / 19,* / 9,* / 8
573,"FERTILITY & IVF CENTER OF MIAMI, INC.",MIAMI,FLORIDA,2018,73,50,82,34,42.5%,36.0%,14.6%,8.8%,2.9%,6.5%,6.4%,8.8%,0 / *,46.3%,15%,15%,37%,4%,16%,41%,79%,78.5%,75.0%,73.2%,73.9%
574,UNIVERSITY OF MIAMI INFERTILITY CENTER,MIAMI,FLORIDA,2018,61,31,39,7,45.9%,41.9%,20.5%,0 / 7,5.1%,7.5%,9.8%,0.0%,* / *,* / *,36%,1%,31%,1%,2%,18%,11%,50.0%,43.2%,33.3%,* / 19
575,"NEW LEADERS IN FERTILITY & ENDOCRINOLOGY, LLC",PENSACOLA,FLORIDA,2018,109,54,21,5,52.3%,42.6%,33.3%,* / 5,4.5%,7.1%,8.1%,0 / 10,7 / 17,* / 9,10%,11%,19%,14%,1%,33%,2%,7.2%,34.0%,36.4%,* / 7
576,FERTILITY & GENETICS,PLANTATION,FLORIDA,2018,54,28,29,14,48.1%,39.3%,10.3%,0 / 14,0.0%,0.0%,3.4%,0 / 13,* / *,0 / *,14%,21%,16%,2%,18%,49%,19%,52.8%,* / 12,13 / 16,5 / 7
577,FERTILITY CENTER & APPLIED GENETICS OF FLORIDA,SARASOTA,FLORIDA,2018,36,16,16,11,44.4%,* / 16,* / 16,0 / 11,5.4%,10.0%,27.3%,* / 19,,10 / 17,10%,6%,60%,7%,11%,23%,17%,89.5%,96.7%,8 / 8,6 / 6
578,IVFMD/SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,SOUTH MIAMI,FLORIDA,2018,248,189,166,95,56.0%,41.8%,29.5%,12.6%,4.6%,8.5%,12.9%,11.4%,57.0%,50.0%,12%,16%,34%,10%,2%,33%,42%,25.9%,41.0%,52.0%,33.3%
579,THE REPRODUCTIVE MEDICINE GROUP,TAMPA,FLORIDA,2018,189,124,99,39,54.0%,46.8%,34.3%,7.7%,4.1%,4.2%,6.6%,10.0%,* / *,56.0%,16%,12%,17%,5%,3%,32%,10%,70.5%,78.7%,82.7%,81.8%
580,UNIVERSITY OF SOUTH FLORIDA IVF,TAMPA,FLORIDA,2018,89,51,59,26,49.4%,29.4%,30.5%,3.8%,7.1%,1.5%,11.2%,4.4%,7 / 15,5 / 16,20%,9%,30%,5%,10%,34%,8%,22.0%,27.9%,35.3%,32.1%
581,F.I.R.S.T.,WESTON,FLORIDA,2018,14,*,5,*,* / 14,0 / *,* / 5,0 / *,0.0%,* / 12,3.8%,* / 11,0 / 5,* / 5,15%,23%,48%,10%,9%,37%,73%,6 / 17,* / 8,* / 12,* / 6
582,"ADVANCED REPRODUCTIVE SPECIALISTS, LLC",WINTER PARK,FLORIDA,2018,14,11,10,*,5 / 14,* / 11,* / 10,0 / *,9.5%,* / 17,* / 8,0 / 7,* / *,* / *,11%,6%,41%,14%,0%,40%,0%,* / 12,* / 7,* / 5,0 / *
583,"CENTER FOR REPRODUCTIVE MEDICINE, PA",WINTER PARK,FLORIDA,2018,252,145,161,68,42.1%,26.2%,13.0%,10.3%,16.3%,16.6%,18.5%,13.2%,38.1%,51.4%,7%,28%,30%,10%,3%,18%,13%,31.0%,49.3%,59.6%,41.7%
584,FERTILITY CARE,WINTER PARK,FLORIDA,2018,45,20,18,5,57.8%,25.0%,* / 18,0 / 5,11.9%,9.8%,14.9%,6 / 18,5 / 6,* / 5,10%,16%,27%,7%,1%,11%,8%,3.9%,0.0%,5.3%,0 / 5
585,ASPIRE FERTILITY-ATLANTA,ATLANTA,GEORGIA,2018,0,0,0,0,,,,,0.0%,0 / 15,0.0%,0 / 13,0 / *,0 / *,22%,17%,22%,3%,4%,31%,8%,19.0%,* / 8,0 / 8,* / 8
586,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,ATLANTA,GEORGIA,2018,315,161,175,65,55.2%,44.1%,25.7%,12.3%,5.4%,7.2%,8.7%,8.1%,36.1%,39.6%,11%,16%,21%,6%,6%,16%,56%,59.5%,69.8%,63.0%,45.7%
587,EMORY REPRODUCTIVE CENTER,ATLANTA,GEORGIA,2018,83,71,50,25,67.5%,39.4%,32.0%,8.0%,10.1%,11.8%,8.5%,21.4%,5 / 6,* / 9,24%,12%,32%,9%,15%,27%,18%,15.5%,22.7%,35.5%,3.6%
588,REPRODUCTIVE BIOLOGY ASSOCIATES,ATLANTA,GEORGIA,2018,333,172,128,51,51.7%,45.3%,28.1%,23.5%,3.3%,3.7%,4.1%,2.5%,36.2%,44.9%,12%,14%,49%,5%,3%,28%,11%,55.9%,54.9%,49.3%,42.3%
589,SHADY GROVE FERTILITY-ATLANTA,ATLANTA,GEORGIA,2018,74,55,51,18,58.1%,41.8%,33.3%,* / 18,4.2%,7.5%,7.9%,9.5%,* / 12,40.0%,11%,24%,27%,3%,3%,22%,36%,46.5%,60.2%,51.4%,48.7%
590,REPRODUCTIVE MEDICINE AND INFERTILITY ASSOCIATES,AUGUSTA,GEORGIA,2018,44,22,14,9,65.9%,50.0%,* / 14,* / 9,8.1%,11.8%,0.0%,0 / 14,* / *,* / *,26%,17%,19%,26%,5%,33%,2%,4.8%,15.4%,* / 17,* / 9
591,SERVY FERTILITY INSTITUTE,AUGUSTA,GEORGIA,2018,48,32,23,17,35.4%,37.5%,8.7%,* / 17,3.3%,9.9%,6.9%,12.0%,* / *,18.2%,20%,12%,19%,3%,2%,28%,25%,16.2%,7.1%,5.7%,* / 16
592,"COLUMBUS CENTER FOR REPRODUCTIVE ENDOCRINOLOGY & INFERTILITY, LLC",COLUMBUS,GEORGIA,2018,48,17,11,5,58.3%,9 / 17,* / 11,0 / 5,6.0%,12.5%,14.3%,* / 10,,* / *,25%,89%,8%,19%,16%,71%,6%,12.2%,* / 13,* / 12,0 / 5
593,THE GEORGIA CENTER FOR REPRODUCTIVE MEDICINE,SAVANNAH,GEORGIA,2018,76,29,15,8,65.8%,37.9%,* / 15,* / 8,3.6%,12.8%,6.5%,0 / *,,* / *,12%,10%,23%,7%,5%,52%,7%,1.0%,0.0%,0.0%,0 / *
594,ADVANCED REPRODUCTIVE CENTER OF HAWAII,HONOLULU,HAWAII,2018,29,32,29,12,72.4%,40.6%,34.5%,* / 12,5.8%,8.9%,10.5%,0.0%,,* / *,12%,<1%,7%,7%,0%,66%,27%,48.5%,51.9%,28.0%,* / 8
595,FERTILITY INSTITUTE OF HAWAII,HONOLULU,HAWAII,2018,48,27,20,15,58.3%,44.4%,40.0%,* / 15,0.7%,0.0%,1.9%,0.0%,5 / 11,65.1%,15%,25%,19%,4%,1%,69%,6%,27.3%,44.1%,45.5%,23.3%
596,IVF HAWAII,HONOLULU,HAWAII,2018,22,37,31,11,50.0%,40.5%,29.0%,* / 11,7.6%,7.7%,6.7%,15.2%,,* / 7,21%,23%,44%,43%,5%,88%,66%,22.7%,31.0%,30.8%,19.0%
597,"KAISER PERMANENTE HAWAII REGION, REPRODUCTIVE MEDICINE DIVISION",HONOLULU,HAWAII,2018,0,0,0,0,,,,,28.0%,* / 13,33.3%,* / 10,,,22%,2%,19%,17%,14%,65%,6%,6 / 9,* / 5,* / 7,* / *
598,PACIFIC IN VITRO FERTILIZATION INSTITUTE,HONOLULU,HAWAII,2018,36,41,30,15,52.8%,36.6%,16.7%,* / 15,5.4%,7.4%,6.7%,10.6%,* / *,45.9%,10%,4%,43%,32%,1%,69%,6%,16.3%,6.5%,13.3%,18.4%
599,TRIPLER ARMY MEDICAL CENTER IVF INSTITUTE,TRIPLER AMC,HAWAII,2018,65,44,36,10,38.5%,38.6%,22.2%,* / 10,5.4%,2.2%,25.9%,5 / 18,,,18%,8%,11%,8%,2%,38%,13%,14.1%,9.5%,5 / 18,0 / 6
600,IDAHO CENTER FOR REPRODUCTIVE MEDICINE,BOISE,IDAHO,2018,84,36,31,6,63.1%,38.9%,25.8%,0 / 6,5.7%,7.4%,4.2%,5.5%,,55.6%,6%,6%,21%,4%,3%,24%,35%,49.1%,51.4%,69.2%,76.3%
601,RUSH-COPLEY CENTER FOR REPRODUCTIVE HEALTH,AURORA,ILLINOIS,2018,47,26,13,11,19.1%,11.5%,* / 13,* / 11,9.3%,15.4%,33.3%,* / 7,,,9%,46%,15%,17%,2%,16%,2%,0.0%,0.0%,0 / 10,0 / *
602,CENTER FOR REPRODUCTIVE CARE,CHICAGO,ILLINOIS,2018,43,36,29,20,39.5%,33.3%,10.3%,15.0%,6.1%,5.1%,13.2%,4.9%,,* / 6,31%,38%,46%,10%,41%,44%,16%,2.6%,2.1%,7.4%,0.0%
603,FERTILITY CENTERS OF ILLINOIS-RIVER NORTH IVF,CHICAGO,ILLINOIS,2018,699,475,440,187,51.1%,37.3%,20.0%,8.0%,8.4%,9.4%,9.3%,13.4%,40.0%,43.8%,5%,15%,26%,4%,2%,20%,29%,12.3%,20.5%,28.6%,25.6%
604,INSTITUTE FOR HUMAN REPRODUCTION (IHR),CHICAGO,ILLINOIS,2018,93,61,86,54,44.1%,27.9%,11.6%,7.4%,5.1%,2.8%,7.8%,8.2%,,30.4%,10%,15%,49%,7%,6%,33%,10%,45.2%,47.6%,57.8%,34.3%
605,NORTHWESTERN FERTILITY AND REPRODUCTIVE MEDICINE,CHICAGO,ILLINOIS,2018,360,276,214,79,50.3%,35.9%,23.4%,10.1%,6.5%,10.2%,9.5%,15.3%,* / 5,40.8%,6%,10%,31%,3%,2%,17%,46%,28.4%,37.9%,44.4%,30.1%
606,UNIVERSITY OF CHICAGO MEDICINE CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,CHICAGO,ILLINOIS,2018,28,20,28,5,25.0%,20.0%,10.7%,0 / 5,7.1%,15.6%,12.9%,0 / 8,* / *,* / *,15%,6%,16%,6%,2%,34%,6%,* / 15,5 / 17,5 / 17,* / 6
607,UNIVERSITY OF ILLINOIS AT CHICAGO IVF PROGRAM,CHICAGO,ILLINOIS,2018,40,38,26,10,45.0%,34.2%,34.6%,0 / 10,5.9%,2.6%,14.3%,14.3%,,0 / *,25%,24%,24%,4%,13%,28%,7%,0.0%,0.0%,0.0%,4.5%
608,VIOS FERTILITY INSTITUTE-CHICAGO,CHICAGO,ILLINOIS,2018,51,65,64,50,52.9%,26.2%,20.3%,12.0%,3.4%,8.3%,4.8%,3.8%,* / *,65.9%,4%,15%,69%,3%,6%,13%,38%,31.8%,23.4%,50.7%,44.4%
609,CENTER FOR REPRODUCTIVE HEALTH/JOLIET IVF,CREST HILL,ILLINOIS,2018,57,15,16,*,52.6%,6 / 15,* / 16,0 / *,2.9%,2.3%,10.3%,0 / 7,,* / 8,15%,11%,39%,3%,1%,19%,3%,75.7%,58.6%,12 / 17,* / *
610,MIDWEST FERTILITY CENTER,DOWNERS GROVE,ILLINOIS,2018,36,21,21,14,38.9%,57.1%,19.0%,* / 14,1.9%,3.3%,0.0%,0 / 6,0 / 5,* / 6,18%,14%,28%,1%,26%,19%,3%,0.0%,0.0%,0.0%,0 / 5
611,"CHICAGO INFERTILITY ASSOCIATES, LTD",ELK GROVE VILLAGE,ILLINOIS,2018,0,0,0,0,,,,,* / 5,0 / *,,0 / *,,,0%,11%,0%,0%,0%,56%,11%,* / *,,,0 / *
612,"DAVIES FERTILITY & IVF SPECIALISTS, SC",GLENVIEW,ILLINOIS,2018,86,47,36,24,59.3%,38.3%,22.2%,0.0%,8.6%,7.8%,4.8%,19.6%,,* / 10,4%,14%,35%,2%,4%,56%,7%,59.0%,65.7%,62.1%,8 / 11
613,ADVANCED FERTILITY CENTER OF CHICAGO,GURNEE,ILLINOIS,2018,245,137,136,54,66.1%,56.2%,34.6%,22.2%,3.7%,2.4%,5.3%,1.7%,55.4%,72.4%,8%,30%,34%,5%,3%,26%,24%,18.2%,30.6%,29.8%,21.2%
614,FERTILITY CENTERS OF ILLINOIS-HIGHLAND PARK IVF CENTER,HIGHLAND PARK,ILLINOIS,2018,293,202,254,95,37.9%,30.7%,18.5%,11.6%,3.7%,10.5%,9.9%,14.0%,53.8%,55.8%,3%,9%,40%,2%,2%,25%,53%,35.0%,43.7%,44.0%,58.7%
615,HINSDALE CENTER FOR REPRODUCTION,HINSDALE,ILLINOIS,2018,16,11,8,0,9 / 16,* / 11,0 / 8,,0.0%,4.8%,0 / 5,0 / *,* / 6,,13%,20%,28%,25%,3%,16%,7%,0.0%,* / 12,0 / *,0 / *
616,INVIA FERTILITY SPECIALISTS,HOFFMAN ESTATES,ILLINOIS,2018,192,105,95,51,53.6%,40.0%,22.1%,11.8%,4.7%,7.9%,6.1%,13.6%,,41.7%,6%,13%,7%,5%,5%,9%,52%,31.1%,34.1%,24.4%,27.6%
617,THE ADVANCED IVF INSTITUTE,NAPERVILLE,ILLINOIS,2018,144,76,65,27,56.3%,31.6%,27.7%,14.8%,7.1%,8.8%,14.5%,17.5%,* / *,47.4%,7%,18%,39%,6%,8%,32%,4%,11.6%,11.7%,25.3%,16.7%
618,IVF1,NAPERVILLE,ILLINOIS,2018,142,93,77,48,54.2%,45.2%,35.1%,12.5%,6.5%,11.8%,8.5%,12.7%,0 / *,57.6%,9%,10%,35%,6%,7%,29%,4%,40.4%,65.5%,73.3%,59.1%
619,REPRODUCTIVE MEDICINE INSTITUTE,OAK BROOK,ILLINOIS,2018,279,190,177,76,51.6%,31.6%,15.8%,6.6%,6.1%,4.2%,7.0%,8.1%,* / *,37.8%,15%,27%,29%,7%,7%,21%,33%,18.2%,22.1%,26.0%,24.4%
620,"DANIEL ROSTEIN, MD, SC",OAK BROOK,ILLINOIS,2018,*,0,*,0,* / *,,* / *,,0 / *,0 / *,0 / *,0 / *,* / *,,46%,0%,62%,0%,0%,31%,15%,0 / *,0 / *,0 / *,0 / *
621,ADVANCED REPRODUCTIVE CENTER,ROCKFORD,ILLINOIS,2018,53,19,9,*,50.9%,6 / 19,* / 9,0 / *,2.0%,3.6%,3.7%,13.6%,,6 / 14,22%,7%,16%,4%,7%,20%,2%,2.2%,2.2%,8.7%,* / 16
622,CHICAGO IVF,SKOKIE,ILLINOIS,2018,159,73,67,38,25.8%,16.4%,11.9%,10.5%,3.8%,9.3%,7.5%,13.0%,* / 16,0 / 5,20%,18%,23%,5%,9%,30%,9%,5.8%,10.7%,10.9%,6.5%
623,NORTH SHORE FERTILITY,SKOKIE,ILLINOIS,2018,37,26,17,17,2.7%,11.5%,* / 17,* / 17,5.2%,4.3%,5.8%,* / 16,0 / *,0 / 6,<1%,1%,17%,3%,<1%,12%,4%,7.9%,3.1%,7.7%,0 / 12
624,SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE FERTILITY AND IVF CENTER,SPRINGFIELD,ILLINOIS,2018,67,28,10,10,62.7%,53.6%,* / 10,0 / 10,4.9%,7.3%,8.3%,0 / *,* / *,* / 6,12%,16%,13%,12%,4%,23%,9%,2.2%,17.1%,* / 14,* / *
625,VIOS FERTILITY INSTITUTE-SWANSEA,SWANSEA,ILLINOIS,2018,147,71,39,18,51.7%,25.4%,15.4%,* / 18,8.8%,9.1%,14.8%,19.6%,5 / 7,* / 5,9%,27%,20%,6%,6%,29%,4%,15.2%,29.6%,25.8%,30.0%
626,"SETH LEVRANT, MD, PC",TINLEY PARK,ILLINOIS,2018,27,22,17,*,33.3%,13.6%,6 / 17,0 / *,4.5%,17.9%,0.0%,0 / 13,,* / 7,14%,28%,26%,15%,32%,19%,35%,0 / 19,0.0%,* / 17,0 / 10
627,MIDWEST FERTILITY SPECIALISTS,CARMEL,INDIANA,2018,261,109,69,20,39.8%,22.9%,23.2%,5.0%,8.7%,9.2%,11.5%,15.0%,22.7%,39.4%,8%,12%,21%,7%,2%,34%,13%,59.6%,72.8%,56.3%,64.1%
628,ADVANCED FERTILITY GROUP,INDIANAPOLIS,INDIANA,2018,25,*,*,5,28.0%,* / *,0 / *,0 / 5,2.2%,12.5%,* / 13,* / 7,* / *,0 / *,10%,37%,14%,9%,3%,31%,18%,5.4%,* / 17,0 / 7,0 / *
629,COMMUNITY FERTILITY SPECIALTY CARE,INDIANAPOLIS,INDIANA,2018,58,19,18,6,56.9%,11 / 19,6 / 18,* / 6,21.9%,9.7%,* / 17,* / 7,0 / *,* / *,7%,10%,1%,30%,9%,44%,24%,5.3%,8.3%,* / 12,0 / 5
630,"FAMILY BEGINNINGS, PC",INDIANAPOLIS,INDIANA,2018,73,36,30,24,11.0%,11.1%,3.3%,0.0%,7.5%,11.1%,23.2%,6 / 19,,* / *,22%,27%,10%,7%,0%,27%,4%,10.8%,18.9%,43.3%,* / 6
631,HENRY FERTILITY DBA,INDIANAPOLIS,INDIANA,2018,59,15,11,*,66.1%,* / 15,* / 11,0 / *,13.1%,0.0%,* / 10,* / 5,,* / *,6%,63%,8%,10%,1%,27%,21%,15.4%,18.2%,0 / 7,0 / *
632,INDIANA FERTILITY INSTITUTE,INDIANAPOLIS,INDIANA,2018,171,65,41,15,40.9%,33.8%,29.3%,* / 15,8.8%,12.5%,8.8%,12.7%,,42.9%,7%,26%,15%,18%,2%,21%,11%,9.6%,18.9%,12.1%,15.4%
633,INDIANA UNIVERSITY HOSPITAL,INDIANAPOLIS,INDIANA,2018,9,*,*,0,5 / 9,* / *,* / *,,* / 8,0 / *,0 / 5,,,,13%,69%,6%,6%,0%,25%,13%,* / 6,,0 / 5,
634,BOSTON IVF AT THE WOMEN'S HOSPITAL,NEWBURGH,INDIANA,2018,112,25,21,17,69.6%,32.0%,23.8%,* / 17,5.1%,10.8%,9.1%,* / 18,* / *,* / *,13%,24%,24%,15%,3%,49%,9%,16.4%,20.0%,11 / 19,* / 10
635,"MID-IOWA FERTILITY, PC",CLIVE,IOWA,2018,263,82,74,14,48.3%,34.1%,9.5%,0 / 14,5.5%,12.4%,13.1%,18.2%,* / *,58.1%,6%,19%,14%,10%,2%,22%,6%,32.9%,43.3%,55.8%,6 / 16
636,UNIVERSITY OF IOWA HOSPITALS AND CLINICS,IOWA CITY,IOWA,2018,245,91,71,28,66.5%,62.6%,36.6%,21.4%,8.4%,16.3%,21.2%,12.9%,6 / 14,6 / 15,13%,15%,14%,10%,3%,30%,9%,6.3%,10.6%,21.9%,24.3%
637,"MIDWEST REPRODUCTIVE CENTER, PA",OLATHE,KANSAS,2018,106,32,25,9,57.5%,25.0%,20.0%,* / 9,5.1%,6.7%,11.9%,8.7%,* / *,28.6%,20%,19%,24%,9%,4%,42%,12%,51.5%,57.6%,78.3%,5 / 10
638,CENTER FOR ADVANCED REPRODUCTIVE MEDICINE,OVERLAND PARK,KANSAS,2018,179,69,47,12,47.5%,31.9%,44.7%,* / 12,7.1%,10.8%,11.8%,21.6%,* / 5,48.1%,11%,12%,22%,12%,1%,42%,5%,16.7%,11.1%,28.0%,5 / 16
639,REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,OVERLAND PARK,KANSAS,2018,123,40,21,5,46.3%,37.5%,38.1%,* / 5,2.9%,6.6%,9.4%,* / 10,51.5%,* / 8,3%,25%,36%,5%,1%,25%,1%,30.1%,22.9%,17.2%,* / 8
640,BLUEGRASS FERTILITY CENTER,LEXINGTON,KENTUCKY,2018,95,22,13,8,43.2%,27.3%,* / 13,* / 8,0.0%,5.9%,8.6%,0 / 6,,0 / *,19%,19%,17%,17%,1%,62%,1%,1.2%,3.7%,0.0%,* / *
641,THE LEXINGTON FERTILITY CENTER,LEXINGTON,KENTUCKY,2018,9,*,*,0,0 / 9,0 / *,0 / *,,0 / 19,0 / *,0 / *,,0 / *,,0%,21%,14%,7%,7%,68%,0%,* / 15,* / *,* / *,
642,FERTILITY AND ENDOCRINE ASSOCIATES,LOUISVILLE,KENTUCKY,2018,41,18,8,*,26.8%,* / 18,* / 8,* / *,1.1%,7.3%,0 / 17,0 / 6,,* / 5,14%,20%,30%,23%,1%,40%,10%,31.7%,26.7%,* / 14,0 / *
643,"KENTUCKY FERTILITY INSTITUTE, LLC",LOUISVILLE,KENTUCKY,2018,81,39,20,*,54.3%,46.2%,25.0%,0 / *,5.4%,1.7%,10.5%,* / 17,* / *,* / *,11%,13%,17%,14%,1%,31%,2%,33.6%,51.6%,8 / 14,* / 8
644,"FERTILITY ANSWERS, LLC-BATON ROUGE",BATON ROUGE,LOUISIANA,2018,50,18,15,0,38.0%,* / 18,* / 15,,5.6%,18.5%,19.0%,* / 8,* / 6,* / *,21%,10%,24%,7%,6%,20%,17%,47.6%,40.0%,6 / 10,* / *
645,"FERTILITY ANSWERS, LLC-LAFAYETTE",LAFAYETTE,LOUISIANA,2018,50,32,7,5,34.0%,15.6%,* / 7,0 / 5,5.2%,0.0%,2.9%,0 / 10,* / 5,* / 5,27%,8%,18%,8%,3%,23%,10%,37.8%,39.0%,7 / 13,* / 5
646,FERTILITY INSTITUTE OF NEW ORLEANS,MANDEVILLE,LOUISIANA,2018,196,90,65,23,39.3%,28.9%,16.9%,4.3%,13.0%,12.1%,11.8%,14.3%,* / 6,5 / 16,14%,32%,22%,10%,<1%,34%,46%,36.9%,25.0%,52.3%,52.0%
647,AUDUBON FERTILITY,NEW ORLEANS,LOUISIANA,2018,95,40,43,13,66.3%,50.0%,32.6%,0 / 13,6.0%,13.3%,10.8%,12.1%,,43.3%,10%,18%,12%,10%,4%,22%,34%,40.0%,54.8%,68.9%,5 / 13
648,ARKLATEX FERTILITY AND REPRODUCTIVE MEDICINE,SHREVEPORT,LOUISIANA,2018,69,21,10,8,58.0%,33.3%,5 / 10,* / 8,10.5%,6.1%,23.8%,0 / 5,,0 / *,17%,12%,28%,11%,3%,31%,4%,1.7%,7.4%,* / 12,* / *
649,"BOSTON IVF, LLC THE MAINE CENTER",SOUTH PORTLAND,MAINE,2018,109,46,31,20,56.9%,47.8%,54.8%,30.0%,5.9%,3.3%,9.3%,10.9%,,38.1%,9%,9%,10%,6%,1%,28%,17%,6.3%,12.1%,30.0%,22.0%
650,"THE A.R.T. INSTITUTE OF WASHINGTON, INC.",BETHESDA,MARYLAND,2018,154,94,92,42,61.7%,40.4%,25.0%,21.4%,7.4%,8.6%,4.3%,10.1%,* / *,* / *,18%,11%,9%,7%,6%,43%,4%,3.1%,4.0%,6.1%,10.0%
651,"ENDRIKA HINTON, MD",LUTHERVILLE,MARYLAND,2018,11,6,8,*,* / 11,* / 6,* / 8,0 / *,* / 17,0 / 7,0 / 5,* / *,,,17%,40%,17%,20%,9%,43%,11%,* / 14,* / 5,* / 5,
652,JOHNS HOPKINS FERTILITY CENTER,LUTHERVILLE,MARYLAND,2018,150,77,139,75,27.3%,22.1%,10.8%,1.3%,5.5%,7.0%,12.3%,15.2%,7 / 19,20.0%,12%,14%,25%,12%,9%,20%,14%,21.6%,27.1%,55.1%,33.3%
653,MONTGOMERY FERTILITY CENTER,ROCKVILLE,MARYLAND,2018,17,18,14,*,5 / 17,6 / 18,0 / 14,0 / *,0.0%,0.0%,4.3%,0 / 7,,* / 10,14%,23%,14%,0%,18%,22%,0%,0.0%,0 / 17,0 / 8,0 / *
654,SHADY GROVE FERTILITY-ROCKVILLE,ROCKVILLE,MARYLAND,2018,"1,523","1,085","1,047",581,57.6%,44.6%,28.6%,12.2%,4.7%,6.2%,10.4%,12.3%,48.9%,39.7%,8%,10%,25%,3%,4%,24%,38%,21.9%,34.5%,39.4%,36.4%
